Species,Light_ISF,Light_Cat,Soil_Conspecific,AMF,Phenolics,Lignin,NSC,Event,Harvest,Alive
Quercus alba,0.098,Med,Heterospecific,17.66,4.15,19.17,22.01,0,NA,X
Quercus alba,0.075,Low,Sterilized,26,3.45,24.23,15.43,0,X,NA
Quercus rubra,0.072,Low,Heterospecific,14,2.48,25.81,11.42,0,X,NA
Quercus rubra,0.086,Med,Sterilized,6.48,3.46,24.52,15.13,1,NA,NA
Quercus rubra,0.072,Low,Heterospecific,12,3.55,20.38,18.18,0,X,NA
Acer saccharum,0.072,Low,Conspecific,13.33,-0.18,11.17,11.73,0,X,NA
Prunus serotina,0.077,Med,Heterospecific,23.53,0.34,5.15,6.72,1,NA,NA
Acer saccharum,0.098,Med,Heterospecific,12.24,0.14,14.27,12.11,1,NA,NA
Prunus serotina,0.06,Low,Conspecific,34.02,0.4,5.25,6.91,1,NA,NA
Quercus alba,0.06,Low,Sterilized,11,2.55,18.94,19.22,0,X,NA
Quercus alba,0.098,Med,Heterospecific,20.63,4.99,19.06,22.55,0,NA,X
Quercus rubra,0.072,Low,Heterospecific,17,2.32,22.68,12.28,0,X,NA
Prunus serotina,0.072,Low,Heterospecific,32.85,0.69,7.94,11.64,1,NA,NA
Quercus rubra,0.091,Med,Heterospecific,24.97,3.83,26.75,14.85,0,NA,X
Quercus alba,0.072,Low,Heterospecific,17,3.33,19.78,19.13,0,X,NA
Prunus serotina,0.072,Low,Heterospecific,56.63,0.56,5.41,6.99,1,NA,NA
Quercus rubra,0.091,Med,Conspecific,18.49,3.61,25.97,14.58,0,NA,X
Acer saccharum,0.091,Med,Conspecific,20.57,0.47,14.19,12.4,1,NA,NA
Prunus serotina,0.091,Med,Heterospecific,17.5,0.32,10.68,13.63,1,NA,NA
Prunus serotina,0.077,Med,Sterilized,10.97,0.26,5.45,9.31,1,NA,NA
Quercus rubra,0.077,Med,Heterospecific,18.48,3.11,25.27,13.05,0,NA,X
Prunus serotina,0.06,Low,Sterilized,2,0.25,5.36,8.28,0,X,NA
Quercus alba,0.103,Med,Heterospecific,20.82,4.96,18.89,22.79,0,NA,X
Quercus alba,0.091,Med,Heterospecific,19.14,5.06,18.85,22.32,0,NA,X
Acer saccharum,0.06,Low,Heterospecific,17.77,-0.2,10.8,11.03,1,NA,NA
Acer saccharum,0.091,Med,Heterospecific,16.64,-0.04,13.72,12.18,1,NA,NA
Prunus serotina,0.06,Low,Heterospecific,53.7,0.57,5.28,6.36,1,NA,NA
Quercus rubra,0.091,Med,Heterospecific,20.86,3.83,21.14,17.93,0,NA,X
Acer saccharum,0.103,Med,Conspecific,22.43,0.37,12.63,12.1,1,NA,NA
Acer saccharum,0.103,Med,Heterospecific,14.82,-0.1,13.59,12.2,1,NA,NA
Acer saccharum,0.103,Med,Heterospecific,14.82,-0.1,13.59,12.2,1,NA,NA
Prunus serotina,0.072,Low,Sterilized,14,0.3,5.3,8.5,0,X,NA
Quercus rubra,0.072,Low,Conspecific,12,3.79,23.84,16.19,0,X,NA
Quercus alba,0.103,Med,Heterospecific,16.66,4.15,19.02,23.35,0,NA,X
Quercus rubra,0.06,Low,Sterilized,20,2.59,28,6.59,0,X,NA
Quercus alba,0.072,Low,Conspecific,16,3.91,26.38,13.3,0,X,NA
Quercus alba,0.091,Med,Conspecific,16.24,4.9,24.65,15.55,0,NA,X
Quercus alba,0.103,Med,Heterospecific,13.9,4.71,17.55,24.28,0,NA,X
Quercus alba,0.103,Med,Heterospecific,10.58,5.25,22.16,17.68,0,NA,X
Quercus alba,0.103,Med,Heterospecific,23.71,5.02,18.89,22.85,0,NA,X
Acer saccharum,0.06,Low,Conspecific,15,-0.14,9.62,9.96,0,X,NA
Quercus rubra,0.103,Med,Sterilized,8.99,3.56,24.16,15.82,0,NA,X
Quercus alba,0.091,Med,Heterospecific,13.96,4.23,19.27,21.03,0,NA,X
Quercus rubra,0.091,Med,Heterospecific,25.68,3.33,24.84,14.86,1,NA,NA
Acer saccharum,0.091,Med,Heterospecific,14.58,-0.1,13.82,12.19,1,NA,NA
Acer saccharum,0.072,Low,Heterospecific,2.47,-0.34,8.77,10.58,0,X,NA
Quercus alba,0.072,Low,Heterospecific,14,3.55,19.49,19.12,0,X,NA
Prunus serotina,0.072,Low,Heterospecific,32,0.52,5.01,6.04,0,X,NA
Acer saccharum,0.103,Med,Sterilized,7.54,0.03,12.61,12.16,1,NA,NA
Acer saccharum,0.072,Low,Heterospecific,12.14,-0.03,10.9,11.2,1,NA,NA
Acer saccharum,0.091,Med,Heterospecific,13.47,0.17,14.14,12.12,1,NA,NA
Quercus rubra,0.06,Low,Heterospecific,22,3.26,26.93,13.36,0,X,NA
Acer saccharum,0.091,Med,Heterospecific,14.84,0.03,14.25,12.72,1,NA,NA
Acer saccharum,0.06,Low,Heterospecific,16.9,-0.07,11,11.67,1,NA,NA
Quercus rubra,0.06,Low,Conspecific,10,1.91,29.68,9.35,0,X,NA
Acer saccharum,0.091,Med,Sterilized,8.52,0.04,12.26,12.14,1,NA,NA
Quercus alba,0.091,Med,Heterospecific,19.14,5.06,18.85,22.32,0,NA,X
Quercus alba,0.072,Low,Heterospecific,31,4.12,22.18,17.63,0,X,NA
Quercus rubra,0.072,Low,Heterospecific,11,2.6,25.7,11.61,0,X,NA
Prunus serotina,0.091,Med,Sterilized,9.54,0,7.75,11.71,1,NA,NA
Quercus alba,0.091,Med,Heterospecific,20.21,5.31,20.58,19,0,NA,X
Quercus alba,0.103,Med,Conspecific,11.03,4.99,23.16,16.88,0,NA,X
Quercus alba,0.072,Low,Heterospecific,31,4.8,24.7,15.81,0,X,NA
Quercus alba,0.103,Med,Conspecific,11.03,4.99,23.16,16.88,1,NA,NA
Acer saccharum,0.091,Med,Heterospecific,14.84,0.03,14.25,12.72,1,NA,NA
Acer saccharum,0.06,Low,Heterospecific,16.9,-0.07,11,11.67,1,NA,NA
Acer saccharum,0.06,Low,Sterilized,5,-0.28,9.24,9.75,0,X,NA
Quercus alba,0.072,Low,Heterospecific,12,4.66,20.99,18.78,0,X,NA
Acer saccharum,0.072,Low,Heterospecific,10.09,-0.23,10.54,11.44,1,NA,NA
Prunus serotina,0.103,Med,Heterospecific,19.14,0.34,10.75,13.6,1,NA,NA
Quercus rubra,0.072,Low,Sterilized,4,2.96,26.03,12.61,0,X,NA
Quercus rubra,0.06,Low,Heterospecific,9,2.97,26.49,13.48,0,X,NA
Acer saccharum,0.06,Low,Heterospecific,12,-0.27,10.84,11.11,0,X,NA
Quercus alba,0.055,Low,Sterilized,12,2.22,18.69,19.08,0,X,NA
Quercus alba,0.055,Low,Heterospecific,23.87,4.32,19.24,21.51,1,NA,NA
Prunus serotina,0.103,Med,Heterospecific,19.14,0.34,10.75,13.6,1,NA,NA
Quercus alba,0.103,Med,Heterospecific,13.9,4.71,17.55,24.28,0,NA,X
Quercus rubra,0.103,Med,Sterilized,8.99,3.56,24.16,15.82,1,NA,NA
Quercus alba,0.091,Med,Heterospecific,20.79,4.99,19.11,22,0,NA,X
Quercus alba,0.068,Low,Conspecific,13.83,4.71,23.07,16.57,0,X,NA
Prunus serotina,0.068,Low,Heterospecific,26.55,0.63,8.06,11.63,1,NA,NA
Quercus rubra,0.055,Low,Heterospecific,16.38,3.78,20.27,18.87,1,NA,NA
Prunus serotina,0.068,Low,Heterospecific,46.91,0.56,4.99,7.18,1,NA,NA
Quercus rubra,0.055,Low,Heterospecific,5,2.59,31,10.27,0,X,NA
Quercus alba,0.103,Med,Heterospecific,23.71,5.02,18.89,22.85,1,NA,NA
Prunus serotina,0.055,Low,Heterospecific,28.15,0.65,5.42,8.13,1,NA,NA
Quercus alba,0.065,Low,Heterospecific,19.83,4.76,24.63,15.73,0,NA,X
Acer saccharum,0.065,Low,Heterospecific,12.51,-0.02,11.17,11.21,1,NA,NA
Quercus alba,0.055,Low,Conspecific,20,4.62,22.95,16.56,0,X,NA
Quercus alba,0.065,Low,Heterospecific,16.55,3.73,19.5,19.34,0,NA,X
Quercus alba,0.068,Low,Conspecific,0,4.71,21.63,17.29,0,X,NA
Quercus rubra,0.068,Low,Heterospecific,12,3.29,32.51,13.33,0,X,NA
Quercus rubra,0.087,Med,Heterospecific,22.29,3.35,24.9,14.95,0,NA,X
Quercus rubra,0.068,Low,Heterospecific,9,2.44,27.81,8.82,0,X,NA
Prunus serotina,0.087,Med,Heterospecific,16.18,0.35,10.85,13.69,1,NA,NA
Quercus alba,0.065,Low,Heterospecific,20.85,4.75,24.39,15.84,0,NA,X
Prunus serotina,0.055,Low,Conspecific,40.23,0.44,5.16,6.35,1,NA,NA
Acer saccharum,0.068,Low,Heterospecific,14.46,-0.09,13.63,12.47,1,NA,NA
Quercus alba,0.068,Low,Heterospecific,10.98,3.44,22.79,15.65,0,X,NA
Prunus serotina,0.055,Low,Heterospecific,24.37,0.58,4.72,7.13,1,NA,NA
Quercus alba,0.065,Low,Heterospecific,19.83,4.76,24.63,15.73,0,NA,X
Quercus alba,0.065,Low,Sterilized,10.48,2.56,19.51,18.18,1,NA,NA
Quercus alba,0.055,Low,Heterospecific,42,4.36,19.09,27.53,0,X,NA
Quercus alba,0.087,Med,Heterospecific,14.09,4.64,17.68,23.52,0,NA,X
Quercus alba,0.068,Low,Heterospecific,7.59,4.76,22.84,16.76,0,X,NA
Acer saccharum,0.068,Low,Heterospecific,14.46,-0.09,13.63,12.47,1,NA,NA
Quercus alba,0.087,Med,Heterospecific,21,5.04,18.48,22.15,0,NA,X
Quercus alba,0.065,Low,Heterospecific,22.92,4.53,21.73,17.69,0,NA,X
Quercus alba,0.068,Low,Heterospecific,21,4.62,23.24,16.38,0,X,NA
Acer saccharum,0.065,Low,Heterospecific,14.8,0.04,13.73,12.43,1,NA,NA
Prunus serotina,0.055,Low,Sterilized,0,0.4,5.97,9.75,0,X,NA
Prunus serotina,0.068,Low,Heterospecific,7,0.78,6.73,10.87,0,X,NA
Acer saccharum,0.087,Med,Sterilized,8.7,0.05,12.43,12.39,1,NA,NA
Quercus alba,0.055,Low,Heterospecific,38,4.42,19.11,22.32,0,X,NA
Quercus rubra,0.068,Low,Heterospecific,6,3.55,23.4,17,0,X,NA
Quercus rubra,0.068,Low,Conspecific,15,2.47,27.06,10.98,0,X,NA
Acer saccharum,0.087,Med,Heterospecific,13.4,-0.02,13.88,12.46,1,NA,NA
Acer saccharum,0.065,Low,Heterospecific,18.76,-0.15,10.73,10.95,1,NA,NA
Quercus rubra,0.065,Low,Heterospecific,16.22,3.71,20.17,19.1,0,NA,X
Quercus alba,0.068,Low,Heterospecific,11,4.76,24.59,15.85,0,X,NA
Quercus alba,0.087,Med,Conspecific,20.78,4.97,19.29,21,0,NA,X
Quercus alba,0.087,Med,Heterospecific,14.09,4.64,17.68,23.52,0,NA,X
Quercus rubra,0.068,Low,Heterospecific,20.27,3.51,27.39,13.87,1,NA,NA
Quercus rubra,0.065,Low,Heterospecific,24.36,2.53,25.01,11.34,0,NA,X
Acer saccharum,0.055,Low,Heterospecific,7.59,-0.1,8.62,9.75,0,X,NA
Quercus rubra,0.065,Low,Heterospecific,24.04,3.84,21.57,17.27,0,NA,X
Quercus rubra,0.068,Low,Sterilized,2,3.37,22.76,16.67,0,X,NA
Acer saccharum,0.068,Low,Heterospecific,11.53,-0.24,10.72,11.44,1,NA,NA
Quercus alba,0.087,Med,Conspecific,20.78,4.97,19.29,21,1,NA,NA
Quercus alba,0.087,Med,Heterospecific,14.09,4.64,17.68,23.52,0,NA,X
Acer saccharum,0.087,Med,Heterospecific,13.4,-0.02,13.88,12.46,1,NA,NA
Quercus alba,0.087,Med,Sterilized,5.29,3.3,18.95,20.18,0,NA,X
Quercus rubra,0.065,Low,Sterilized,11.42,2.63,25.61,11.55,0,NA,X
Quercus alba,0.055,Low,Heterospecific,20.83,3.99,19.67,19.26,0,X,NA
Acer saccharum,0.065,Low,Conspecific,17.4,0.09,12.44,12.07,1,NA,NA
Quercus alba,0.065,Low,Heterospecific,19.83,4.76,24.63,15.73,0,NA,X
Quercus rubra,0.068,Low,Heterospecific,20.27,3.51,27.39,13.87,1,NA,NA
Quercus rubra,0.087,Med,Heterospecific,19.95,3.84,21.14,17.91,0,NA,X
Quercus rubra,0.065,Low,Heterospecific,16.22,3.71,20.17,19.1,0,NA,X
Quercus rubra,0.065,Low,Heterospecific,17.98,3.72,20.73,18.25,0,NA,X
Quercus rubra,0.068,Low,Heterospecific,21.9,2.54,25.22,11.25,1,NA,NA
Quercus rubra,0.087,Med,Heterospecific,19.95,3.84,21.14,17.91,0,NA,X
Acer saccharum,0.087,Med,Heterospecific,20.69,-0.57,14.06,12.3,1,NA,NA
Quercus alba,0.068,Low,Conspecific,18,4.57,25.39,14.72,0,X,NA
Quercus rubra,0.055,Low,Heterospecific,64,2.59,28.03,9.35,0,X,NA
Prunus serotina,0.068,Low,Heterospecific,26.55,0.63,8.06,11.63,1,NA,NA
Acer saccharum,0.065,Low,Heterospecific,12.82,-0.22,10.84,11.34,1,NA,NA
Prunus serotina,0.055,Low,Heterospecific,28.15,0.65,5.42,8.13,1,NA,NA
Acer saccharum,0.055,Low,Heterospecific,28,-0.41,14.66,11.25,0,X,NA
Acer saccharum,0.068,Low,Conspecific,16.32,-0.01,10.89,11.46,1,NA,NA
Acer saccharum,0.068,Low,Heterospecific,14.46,-0.09,13.63,12.47,1,NA,NA
Quercus rubra,0.065,Low,Heterospecific,24.96,2.88,27.23,11.48,0,NA,X
Quercus alba,0.091,Med,Heterospecific,20.79,4.99,19.11,22,0,NA,X
Quercus rubra,0.091,Med,Heterospecific,24.97,3.83,26.75,14.85,1,NA,NA
Acer saccharum,0.087,Med,Heterospecific,14.91,0.31,13.94,12.3,1,NA,NA
Acer saccharum,0.087,Med,Heterospecific,17.08,0,13.87,12.17,1,NA,NA
Quercus rubra,0.055,Low,Heterospecific,32,3.92,27.05,15.2,0,X,NA
Quercus alba,0.055,Low,Conspecific,13,4.56,18.45,22.74,0,X,NA
Acer saccharum,0.091,Med,Sterilized,8.52,0.04,12.26,12.14,1,NA,NA
Quercus alba,0.087,Med,Sterilized,5.29,3.3,18.95,20.18,0,NA,X
Quercus alba,0.087,Med,Heterospecific,14.09,4.64,17.68,23.52,0,NA,X
Quercus rubra,0.055,Low,Heterospecific,21,3.92,28.04,14.79,0,X,NA
Quercus alba,0.087,Med,Sterilized,5.29,3.3,18.95,20.18,1,NA,NA
Prunus serotina,0.055,Low,Heterospecific,18.64,0.24,4.81,5.91,1,NA,NA
Acer saccharum,0.05,Low,Heterospecific,25.31,-0.84,9.36,9.68,1,NA,NA
Quercus rubra,0.055,Low,Heterospecific,17,2.77,27.11,12.01,0,X,NA
Quercus rubra,0.05,Low,Conspecific,10,1.64,28.51,9.93,0,X,NA
Acer saccharum,0.05,Low,Heterospecific,28,-0.85,9.75,10.48,0,X,NA
Quercus rubra,0.055,Low,Sterilized,0,2.64,27.97,6.04,0,X,NA
Quercus alba,0.05,Low,Heterospecific,20,3.64,19.28,19.57,0,X,NA
Prunus serotina,0.05,Low,Heterospecific,19.61,0.07,4.83,5.79,1,NA,NA
Acer saccharum,0.09,Med,Heterospecific,21.41,-0.61,14.01,12.25,1,NA,NA
Acer saccharum,0.09,Med,Heterospecific,16.88,-0.04,13.74,12.23,1,NA,NA
Quercus rubra,0.055,Low,Heterospecific,16.38,3.78,20.27,18.87,1,NA,NA
Prunus serotina,0.05,Low,Heterospecific,49.68,0.44,5.69,8.8,1,NA,NA
Quercus alba,0.091,Med,Heterospecific,13.96,4.23,19.27,21.03,0,NA,X
Quercus rubra,0.09,Med,Conspecific,15.59,3.57,25.7,14.68,0,NA,X
Quercus alba,0.05,Low,Heterospecific,15,3.25,15.73,19.18,0,X,NA
Quercus rubra,0.05,Low,Conspecific,9,2.28,25.61,11.39,0,X,NA
Quercus alba,0.092,Med,Heterospecific,13.6,4.64,17.6,23.87,0,NA,X
Quercus alba,0.055,Low,Heterospecific,22,3.3,21.05,17.46,0,X,NA
Acer saccharum,0.055,Low,Heterospecific,21.43,-0.56,9.92,10.04,1,NA,NA
Acer saccharum,0.092,Med,Conspecific,15.59,0.32,13.41,12.29,1,NA,NA
Acer saccharum,0.05,Low,Conspecific,17,-0.63,8.99,9.6,0,X,NA
Quercus alba,0.055,Low,Heterospecific,27,4.49,23.93,15.94,0,X,NA
Quercus rubra,0.05,Low,Heterospecific,15,2.57,25.94,11.55,0,X,NA
Quercus rubra,0.09,Med,Conspecific,15.59,3.57,25.7,14.68,0,NA,X
Quercus rubra,0.055,Low,Heterospecific,15,2.6,25.01,11.84,0,X,NA
Prunus serotina,0.055,Low,Heterospecific,11.36,0.07,3.86,7.11,0,X,NA
Quercus rubra,0.055,Low,Heterospecific,10,2.67,27.47,12.36,0,X,NA
Acer saccharum,0.05,Low,Sterilized,1.47,-0.52,8.84,10.24,0,X,NA
Prunus serotina,0.055,Low,Heterospecific,22,0.61,6.69,10.15,0,X,NA
Acer saccharum,0.05,Low,Sterilized,6.16,-0.48,9.08,9.54,1,NA,NA
Quercus alba,0.055,Low,Heterospecific,15,3.52,19,19.34,0,X,NA
Quercus rubra,0.092,Med,Sterilized,8.75,3.52,24.16,15.82,1,NA,NA
Quercus alba,0.055,Low,Heterospecific,22,4.1,18.95,23.2,0,X,NA
Prunus serotina,0.055,Low,Heterospecific,24.37,0.58,4.72,7.13,1,NA,NA
Acer saccharum,0.09,Med,Conspecific,17.85,0.44,13.57,12.42,1,NA,NA
Prunus serotina,0.05,Low,Sterilized,14.47,0.13,5.01,7.98,1,NA,NA
Acer saccharum,0.092,Med,Heterospecific,14.46,0.19,14.11,12.06,1,NA,NA
Quercus alba,0.092,Med,Heterospecific,18.61,5.04,18.68,22.25,0,NA,X
Quercus alba,0.05,Low,Heterospecific,14,4.58,22.16,17.39,0,X,NA
Quercus rubra,0.092,Med,Conspecific,18.78,3.6,26.16,14.71,0,NA,X
Quercus alba,0.05,Low,Heterospecific,23,4.72,23.23,16.67,0,X,NA
Prunus serotina,0.09,Med,Heterospecific,17.37,0.32,10.68,13.67,1,NA,NA
Acer saccharum,0.09,Med,Heterospecific,13.67,0.16,13.84,12.14,1,NA,NA
Acer saccharum,0.09,Med,Heterospecific,14.78,-0.09,13.86,12.23,1,NA,NA
Acer saccharum,0.05,Low,Sterilized,1,-0.5,11.34,13.15,0,X,NA
Quercus alba,0.092,Med,Heterospecific,14.4,4.22,19.34,20.75,0,NA,X
Quercus rubra,0.063,Low,Heterospecific,35,2.59,26.84,6.52,0,X,NA
Quercus rubra,0.063,Low,Conspecific,13,2.15,26.3,11.56,0,X,NA
Quercus rubra,0.09,Med,Heterospecific,22.69,3.87,26.9,14.88,0,NA,X
Prunus serotina,0.09,Med,Conspecific,22.77,0.24,10.5,14.23,1,NA,NA
Acer saccharum,0.047,Low,Heterospecific,39.02,-1.2,8.78,9.56,0,X,NA
Acer saccharum,0.09,Med,Heterospecific,14.78,-0.09,13.86,12.23,1,NA,NA
Prunus serotina,0.09,Med,Heterospecific,17.37,0.32,10.68,13.67,1,NA,NA
Prunus serotina,0.047,Low,Sterilized,4,0.05,5.02,8.09,0,X,NA
Acer saccharum,0.092,Med,Heterospecific,14.83,0.04,14.27,12.7,1,NA,NA
Quercus rubra,0.092,Med,Heterospecific,18.33,3.69,20.51,18.7,1,NA,NA
Quercus rubra,0.09,Med,Sterilized,6.67,3.49,24.56,15.11,0,NA,X
Quercus alba,0.09,Med,Sterilized,5.11,3.34,19.09,20.12,1,NA,NA
Quercus alba,0.063,Low,Heterospecific,15,3.13,24.77,11.41,0,X,NA
Quercus rubra,0.092,Med,Sterilized,8.75,3.52,24.16,15.82,0,NA,X
Quercus rubra,0.047,Low,Sterilized,2,2.96,22.69,13.91,0,X,NA
Quercus rubra,0.09,Med,Heterospecific,19.83,3.35,25.51,14.76,0,NA,X
Quercus rubra,0.063,Low,Heterospecific,9,2.53,24.67,12.41,0,X,NA
Quercus alba,0.09,Med,Heterospecific,19.81,5.05,18.8,22.31,1,NA,NA
Quercus alba,0.09,Med,Heterospecific,20.7,4.99,19.1,21.97,0,NA,X
Quercus alba,0.09,Med,Heterospecific,13.88,4.13,18.7,22.4,0,NA,X
Quercus alba,0.047,Low,Heterospecific,10,3.98,27.83,14.93,0,X,NA
Prunus serotina,0.09,Med,Heterospecific,17.37,0.32,10.68,13.67,1,NA,NA
Acer saccharum,0.09,Med,Heterospecific,14.78,-0.09,13.86,12.23,1,NA,NA
Acer saccharum,0.047,Low,Heterospecific,27.32,-0.89,9.41,9.74,1,NA,NA
Quercus alba,0.047,Low,Heterospecific,25,4.22,20.91,18.84,0,X,NA
Quercus alba,0.09,Med,Heterospecific,20.7,4.99,19.1,21.97,0,NA,X
Quercus alba,0.047,Low,Heterospecific,26.88,4.53,18.19,20.8,0,X,NA
Quercus alba,0.092,Med,Heterospecific,20.55,4.99,19.03,22.3,0,NA,X
Quercus rubra,0.063,Low,Heterospecific,12,3.73,19.46,19.55,0,X,NA
Acer saccharum,0.092,Med,Conspecific,15.59,0.32,13.41,12.29,1,NA,NA
Acer saccharum,0.063,Low,Heterospecific,12.23,-0.03,11.08,11.16,1,NA,NA
Quercus rubra,0.09,Med,Sterilized,6.67,3.49,24.56,15.11,1,NA,NA
Quercus rubra,0.063,Low,Conspecific,9,3.68,26.39,14.49,0,X,NA
Quercus alba,0.078,Med,Heterospecific,19.14,3.93,18.59,21.65,0,NA,X
Quercus alba,0.063,Low,Heterospecific,25,4.47,21.55,17.54,0,X,NA
Quercus rubra,0.078,Med,Heterospecific,18.4,3.14,26.31,12.9,1,NA,NA
Quercus alba,0.082,Med,Conspecific,15.42,4.83,23.87,15.99,1,NA,NA
Quercus alba,0.082,Med,Heterospecific,27.5,4.84,17.84,21.92,0,NA,X
Quercus alba,0.082,Med,Heterospecific,27.5,4.84,17.84,21.92,1,NA,NA
Acer saccharum,0.047,Low,Sterilized,8,-0.55,11.62,13.3,0,X,NA
Quercus alba,0.063,Low,Heterospecific,18.85,3.72,19.34,19.67,1,NA,NA
Quercus rubra,0.078,Med,Sterilized,10.62,3.02,24.76,13.06,1,NA,NA
Prunus serotina,0.063,Low,Sterilized,12.27,0.32,5.28,8.42,1,NA,NA
Quercus rubra,0.082,Med,Heterospecific,19.2,3.72,20.64,18.29,0,NA,X
Quercus rubra,0.063,Low,Heterospecific,5,3.61,28.46,14.13,0,X,NA
Quercus alba,0.047,Low,Heterospecific,17,3.19,16.8,19.13,0,X,NA
Quercus alba,0.047,Low,Heterospecific,35,4.3,20.14,19.52,0,X,NA
Quercus alba,0.063,Low,Heterospecific,23,4.68,27.28,14.71,0,X,NA
Quercus rubra,0.063,Low,Heterospecific,18,3.3,22.96,16.03,0,X,NA
Quercus rubra,0.047,Low,Sterilized,10.34,2.48,26.38,11.04,0,X,NA
Quercus alba,0.082,Med,Heterospecific,23.53,5.01,19.39,20.67,0,NA,X
Acer saccharum,0.06,Low,Heterospecific,17.77,-0.2,10.8,11.03,1,NA,NA
Quercus alba,0.078,Med,Heterospecific,17.49,4.75,18.57,22.08,0,NA,X
Quercus alba,0.035,Low,Heterospecific,20,4.67,19.3,20.57,0,X,NA
Quercus rubra,0.035,Low,Heterospecific,10,3.81,24.31,15.7,0,X,NA
Prunus serotina,0.035,Low,Heterospecific,32.87,0.25,5.74,8.67,1,NA,NA
Quercus rubra,0.082,Med,Sterilized,4.09,3.3,24.98,14.45,1,NA,NA
Quercus rubra,0.032,Low,Heterospecific,6,3.83,24.36,15.91,0,X,NA
Quercus rubra,0.06,Low,Heterospecific,13,3.34,27.56,13.62,0,X,NA
Quercus alba,0.078,Med,Sterilized,1.12,2.89,19.59,18,1,NA,NA
Acer saccharum,0.06,Low,Heterospecific,13.4,-0.04,10.96,10.99,1,NA,NA
Quercus rubra,0.078,Med,Heterospecific,21.44,3.76,26.83,14.61,1,NA,NA
Acer saccharum,0.078,Med,Sterilized,7,-0.04,12.11,12.34,1,NA,NA
Quercus rubra,0.06,Low,Heterospecific,26,3.93,27.18,15.16,0,X,NA
Quercus rubra,0.082,Med,Conspecific,14.95,3.6,25.81,14.58,1,NA,NA
Quercus alba,0.06,Low,Heterospecific,10,4.79,21.1,17.8,0,X,NA
Quercus rubra,0.082,Med,Heterospecific,20.73,2.58,24.61,11.98,0,NA,X
Quercus alba,0.082,Med,Heterospecific,16.39,4.82,17.99,21.76,0,NA,X
Quercus rubra,0.06,Low,Heterospecific,11,3.51,25.54,15.3,0,X,NA
Quercus rubra,0.032,Low,Heterospecific,8,3.52,19.87,18.99,0,X,NA
Quercus alba,0.06,Low,Heterospecific,13.12,4.37,18.71,23.35,1,NA,NA
Quercus alba,0.032,Low,Sterilized,0,1.62,19.3,18.02,0,X,NA
Quercus alba,0.082,Med,Heterospecific,23.53,5.01,19.39,20.67,1,NA,NA
Acer saccharum,0.06,Low,Heterospecific,13.4,-0.04,10.96,10.99,1,NA,NA
Acer saccharum,0.06,Low,Heterospecific,16.9,-0.07,11,11.67,1,NA,NA
Acer saccharum,0.032,Low,Sterilized,0,-0.67,8.88,10,0,X,NA
Quercus rubra,0.032,Low,Heterospecific,12,3.52,20.1,18.48,0,X,NA
Quercus rubra,0.06,Low,Heterospecific,34,2.52,29.01,9.38,0,X,NA
Prunus serotina,0.06,Low,Heterospecific,80,0.37,5.62,8.87,0,X,NA
Acer saccharum,0.06,Low,Sterilized,4,-0.28,9.01,6.83,0,X,NA
Quercus alba,0.078,Med,Heterospecific,24.39,4.9,20.21,20.12,0,NA,X
Quercus rubra,0.06,Low,Heterospecific,14,2.63,28.37,10.78,0,X,NA
Prunus serotina,0.032,Low,Sterilized,10.98,0,5,8.22,1,NA,NA
Quercus alba,0.032,Low,Heterospecific,12,3.8,17.82,21.07,0,X,NA
Quercus rubra,0.032,Low,Heterospecific,0,3.83,23.12,16.64,0,X,NA
Acer saccharum,0.06,Low,Sterilized,2,-0.45,8.04,10.02,0,X,NA
Acer saccharum,0.078,Med,Sterilized,7,-0.04,12.11,12.34,1,NA,NA
Quercus alba,0.06,Low,Heterospecific,6.56,4.88,23.46,16.33,0,X,NA
Quercus alba,0.032,Low,Heterospecific,19,4.5,18.1,21.49,0,X,NA
Quercus alba,0.032,Low,Conspecific,25.53,4.28,23.46,16.31,0,X,NA
Acer saccharum,0.032,Low,Sterilized,0,-0.67,7.98,10.06,0,X,NA
Quercus alba,0.078,Med,Heterospecific,19.14,3.93,18.59,21.65,0,NA,X
Acer saccharum,0.06,Low,Sterilized,5.7,-0.27,9,9.03,1,NA,NA
Quercus alba,0.06,Low,Heterospecific,0,3.97,20.4,18.75,0,X,NA
Acer saccharum,0.032,Low,Heterospecific,6,-1.12,11.31,11.47,0,X,NA
Quercus alba,0.082,Med,Conspecific,15.42,4.83,23.87,15.99,1,NA,NA
Acer saccharum,0.082,Med,Sterilized,10.58,-0.03,12.92,12.57,1,NA,NA
Quercus alba,0.082,Med,Heterospecific,15.9,3.93,18.27,20.93,1,NA,NA
Acer saccharum,0.052,Low,Conspecific,18.39,0,10.64,11.22,0,X,NA
Quercus alba,0.052,Low,Conspecific,27,4.63,24.42,15.67,0,X,NA
Quercus alba,0.052,Low,Heterospecific,37,4.63,20.82,17.68,0,X,NA
Prunus serotina,0.087,Med,Sterilized,8.73,0.06,7.69,11.93,1,NA,NA
Prunus serotina,0.087,Med,Heterospecific,28.46,0.65,10.38,13.66,1,NA,NA
Quercus alba,0.082,Med,Heterospecific,16.76,4.48,17.56,23.24,1,NA,NA
Quercus alba,0.052,Low,Sterilized,0,2.4,19.01,18.15,0,X,NA
Quercus rubra,0.078,Med,Sterilized,10.62,3.02,24.76,13.06,1,NA,NA
Quercus alba,0.052,Low,Conspecific,4,4.78,18.91,21.76,0,X,NA
