Species,Light_ISF,Light_Cat,Soil_Conspecific,AMF,Phenolics,Lignin,NSC,Event,Harvest,Alive
Acer saccharum,0.083,Med,Conspecific,19.63,0.33,13.73,12.2,1,NA,NA
Prunus serotina,0.097,Med,Sterilized,9,0.07,7.91,11.99,0,X,NA
Quercus rubra,0.108,Med,Heterospecific,17.7,3.7,19.54,19.67,0,NA,X
Quercus rubra,0.097,Med,Conspecific,70,3.51,27.77,14.41,0,X,NA
Prunus serotina,0.083,Med,Heterospecific,24.39,0.62,9.43,11.96,1,NA,NA
Quercus alba,0.083,Med,Sterilized,14,3.45,23.58,15.62,0,X,NA
Prunus serotina,0.097,Med,Sterilized,8.3,0.06,7.76,11.84,1,NA,NA
Quercus rubra,0.106,Med,Sterilized,9.66,3.57,24.36,15.72,1,NA,NA
Acer saccharum,0.083,Med,Conspecific,25,0.2,12.86,11.72,0,X,NA
Acer saccharum,0.097,Med,Heterospecific,15.31,-0.06,13.74,12.22,1,NA,NA
Prunus serotina,0.083,Med,Heterospecific,24.39,0.62,9.43,11.96,1,NA,NA
Prunus serotina,0.097,Med,Heterospecific,33.29,0.57,10.94,13.76,1,NA,NA
Acer saccharum,0.083,Med,Heterospecific,13,-0.26,10.53,10.83,0,X,NA
Prunus serotina,0.083,Med,Heterospecific,14,0.58,2.23,8.68,0,X,NA
Acer saccharum,0.083,Med,Heterospecific,13,-0.34,15.22,12.47,0,X,NA
Acer saccharum,0.083,Med,Heterospecific,12,0.02,15.52,12.09,0,X,NA
Quercus alba,0.097,Med,Heterospecific,26,4.97,19.2,21.66,0,X,NA
Quercus alba,0.098,Med,Conspecific,13.63,5.01,21.98,17.53,0,NA,X
Quercus alba,0.082,Med,Sterilized,0,2.8,17.67,18.51,0,X,NA
Acer saccharum,0.1,Med,Heterospecific,13.21,-0.04,13.89,12.52,1,NA,NA
Quercus alba,0.1,Med,Heterospecific,23,4.15,19.05,23.24,0,X,NA
Acer saccharum,0.1,Med,Heterospecific,14.57,0.22,13.76,12.17,1,NA,NA
Quercus alba,0.1,Med,Heterospecific,11.18,5.24,21.72,17.86,0,NA,X
Quercus alba,0.082,Med,Heterospecific,17,4.8,23.26,16.43,0,X,NA
Quercus rubra,0.107,Med,Heterospecific,20.34,3.54,26.47,14.47,0,NA,X
Acer saccharum,0.082,Med,Heterospecific,13,-0.09,13.88,12.32,0,X,NA
Quercus rubra,0.082,Med,Sterilized,0,3.07,24.59,13.11,0,X,NA
